DRE;CODESC;TIPOESC;NOMESC;DIRETORIA;SUBPREF;CEU;ENDERECO;NUMERO;BAIRRO;CEP;TEL1;TEL2;FAX;SITUACAO;CODDIST;DISTRITO;SETOR;CODINEP;CODCIE;EH;DT_CRIACAO;ATO_CRIACAO;DOM_CRIACAO;DT_INI_FUNC;DT_AUTORIZA;NOME_ANT;T2D3D;T2D3D16;T2D3D15;T2D3D14;T2D3D13;T2D3D12;T2D3D11;T2D3D10;T2D3D09;T2D3D08;T2D3D07;DTURNOS;DTURNOS16;DTURNOS15;DTURNOS14;DTURNOS13;DTURNOS12;DTURNOS11;DTURNOS10;DTURNOS09;DTURNOS08;DTURNOS07;LATITUDE;LONGITUDE;REDE;DATABASE
G;306966;CR.P.CONV;JOSE PROFETA MARCILINO;GUAIANASES;GUAIANASES;;RUA IRMÃOS MURGEL;634;VILA CRUZEIRO;08412030;25527677;;;Ativa;31;GUAIANASES;3103;35407896;407896;;24/07/2008;2008.0.137.525.4;24/07/2008;;17/08/2013;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;-23545937;-46405907;CON;30/04/2017
PJ;306967;ESC.PART.;ESPACO APRENDER;PIRITUBA;LAPA;;RUA BARÃO DA PASSAGEM;1228;BELA ALIANÇA;05087000;;;;Ativa;88;VILA LEOPOLDINA;8802;35163077;163077;;13/08/2008;87;04/08/2008;;;;;;;;;;;;;;;;;;;;;;;;;;-23523353;-46730333;;30/04/2017
MP;306968;CR.P.CONV;ACONCHEGO DO BEBE;SAO MIGUEL;ITAIM PAULISTA;;RUA ALFREDO MOREIRA PINTO;349;VILA SIMONE;08110220;25614152;;;Ativa;36;ITAIM PAULISTA;3604;35417361;417361;;18/07/2008;2008.0.021.396.0;18/07/2008;21/01/2009;01/08/2014;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;-23501563;-46400339;CON;30/04/2017
G;306969;CR.P.CONV;ADIRLEI GONCALVES;GUAIANASES;GUAIANASES;;RUA SERRA DA QUEIMADA;959;PARQUE GUAIANAZES;08431640;25127350;;;Ativa;96;LAJEADO;9606;35408136;408136;;18/07/2008;2008.0.111.966.5;18/07/2008;;30/08/2012;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;-23527392;-46410588;CON;30/04/2017
MP;306970;CR.P.CONV;BERNARDO SANTANA;SAO MIGUEL;ITAIM PAULISTA;;AVENIDA IPÊ ROXO;255;JARDIM JARAGUÁ (ITAIM PAULISTA);08140200;36787809;;;Ativa;36;ITAIM PAULISTA;3608;35417348;417348;;18/07/2008;2008.0.021.410.9;18/07/2008;29/10/2008;17/02/2012;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;-23507182;-46400533;CON;30/04/2017
CL;306971;CR.P.CONV;CEDRINHO III;CAMPO LIMPO;M'BOI MIRIM;;RUA GUILHERME VALENTE;131;JARDIM VERGUEIRO;05818280;58911707;;58913060;Ativa;46;JARDIM SAO LUIS;4602;35429223;429223;;01/07/2008;2007.0.335.969.6;01/07/2008;;03/04/2012;CEDRINHO II;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;-23663227;-46735687;CON;30/04/2017
MP;306972;ESC.PART.;CASTELO ENCANTADO, E.R.;SAO MIGUEL;SAO MIGUEL;;RUA MANUEL MARTINS DE MELO;11;VILA ITAIM;08110820;;;;Ativa;44;JARDIM HELENA;4405;35801409;801409;;06/08/2008;52;30/07/2008;01/01/2005;06/08/2008;;;;;;;;;;;;;;;;;;;;;;;;-23494228;-46390186;;30/04/2017
IQ;306974;CR.P.CONV;PROFESSOR TEIXEIRA;ITAQUERA;ITAQUERA;;LARGO DA MATRIZ;2;ITAQUERA;08210000;;;;Ativa;37;ITAQUERA;3702;35428279;428279;;01/08/2008;2008009508671;01/08/2008;02/02/2015;23/11/2011;ROSA MARIA FIRMO;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;-23539961;-46453875;CON;30/04/2017
MP;306978;CR.P.CONV;PINGUINHO DE GENTE;SAO MIGUEL;SAO MIGUEL;;RUA DOUTOR JOSÉ DE PORCIÚNCULA;507;PARQUE PAULISTANO;08080650;22974589;;;Ativa;44;JARDIM HELENA;4402;35406569;406569;;08/08/2008;2008.0.021.373.0;08/08/2008;07/02/2011;01/08/2014;CONSTRUIR E SONHAR;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;-23483504;-46427698;CON;30/04/2017
SA;306980;ESC.PART.;COLEGIO RODRIGUES VIANA, E.E.I;SANTO AMARO;CIDADE ADEMAR;;RUA ADÃO ARANHA;96;JARDIM MIRIAM;04417050;;;;Ativa;22;CIDADE ADEMAR;2206;35328418;328418;;22/07/2008;233;18/07/2008;;;;;;;;;;;;;;;;;;;;;;;;;;-23682027;-46634637;;30/04/2017
SM;306981;ESC.PART.;O REI LEAO, RECANTO INFANTIL;SAO MATEUS;SAO MATEUS;;AVENIDA RODOLFO PIRANI;313;JARDIM RODOLFO PIRANI;08310000;27512662;;;Ativa;75;SAO RAFAEL;7503;35417415;417415;;30/07/2008;117;22/07/2008;;;;;;;;;;;;;;;;;;;;;;;;;;-23627069;-46462249;;30/04/2017
PJ;306983;ESC.PART.;APOIO E CONVIVIO;PIRITUBA;LAPA;;RUA TEERÃ;482;VILA LEOPOLDINA;05301000;;;;Ativa;88;VILA LEOPOLDINA;8802;35347024;347024;;19/07/2008;78;16/07/2008;;;;;;;;;;;;;;;;;;;;;;;;;;-23533992;-46723946;;30/04/2017
PE;306985;ESC.PART.;PROJETO EDUCAR ENSINO PRE - ESCOLAR;PENHA;ERMELINO MATARAZZO;;RUA DARIO COSTA MATTOS;45;PARQUE BOTURUSSU;03805090;29430510;;;Ativa;28;ERMELINO MATARAZZO;2803;35801331;801331;;29/08/2008;27;22/08/2008;;29/08/2008;;;;;;;;;;;;;;;;;;;;;;;;-23614071;-46711600;;30/04/2017
PE;306988;ESC.PART.;CENTRO EDUCACIONAL CRIANCA FELIZ;PENHA;ERMELINO MATARAZZO;;RUA NOVA VIÇOSA;514;PARQUE CÍSPER;03818080;;;;Ativa;28;ERMELINO MATARAZZO;2802;35163545;163545;;06/09/2008;30;01/09/2008;;06/09/2008;;;;;;;;;;;;;;;;;;;;;;;;-23640428;-46640261;;30/04/2017
SA;306989;CR.P.CONV;CORACAO DE MAE;SANTO AMARO;CIDADE ADEMAR;;AVENIDA YERVANT KISSAJIKIAN;962;VILA CONSTANÇA;04657001;55652247;;;Ativa;22;CIDADE ADEMAR;2202;35401353;401353;;15/09/2008;2008.0.098.551.2;15/09/2008;;05/12/2013;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;-23670017;-46670145;CON;30/04/2017
MP;306990;CR.P.CONV;RECANTO FELIZ;SAO MIGUEL;SAO MIGUEL;;RUA ALEXANDRE MACHADO PEREIRA;178;JARDIM HELENA;08090490;21562201;;;Ativa;44;JARDIM HELENA;4402;35405085;405085;;01/09/2008;2008.0.193.782.1;01/09/2008;01/09/2008;;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;-23481065;-46423314;CON;30/04/2017
CL;306991;CR.P.CONV;JULIAO;CAMPO LIMPO;M'BOI MIRIM;;RUA JAIME TREIGER;150;PARQUE DO LAGO;04945070;55175099;;;Ativa;43;JARDIM ANGELA;4306;35404974;404974;;10/09/2008;2008.0.009.882.6;10/09/2008;;;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;-23715177;-46776394;CON;30/04/2017
FO;306992;CR.P.CONV;MORRO GRANDE CT VIDA;FREGUESIA/BRASILANDIA;FREGUESIA/BRASILANDIA;;RUA RAULINO GALDINO DA SILVA;1157;JARDIM MARISTELA;02807000;39755301;;;Ativa;29;FREGUESIA DO O;2901;35403118;403118;;10/09/2008;2008.0.181.089.9;10/09/2008;25/11/2013;04/04/2012;MORRO GRANDE;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;-23468609;-46698911;CON;30/04/2017
G;306993;CR.P.CONV;MAYARA ESPERANCA E VIDA;GUAIANASES;GUAIANASES;;RUA OTELO AUGUSTO RIBEIRO;556;GUAIANAZES;08412000;25541859;;;Ativa;31;GUAIANASES;3102;35432271;432271;;15/09/2008;2007.0.354.760.3;15/09/2008;;28/10/2011;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;-23547812;-46408652;CON;30/04/2017
G;306994;CR.P.CONV;PAIS E FILHOS;GUAIANASES;CIDADE TIRADENTES;;RUA CACHOEIRA DO BONFIM;129;CONJUNTO HABITACIONAL INÁCIO MONTEIRO;08472390;25560769;;;Ativa;25;CIDADE TIRADENTES;2501;35409601;409601;;15/09/2008;2008.0.210.049.6;15/09/2008;;13/09/2012;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;-23569773;-46401935;CON;30/04/2017
FO;306995;CR.P.CONV;ALAMEDA DO BEBE;FREGUESIA/BRASILANDIA;CASA VERDE/CACHOEIRINHA;;AVENIDA GENERAL PENHA BRASIL;178;VILA NOVA CACHOEIRINHA;02673000;39810005;;;Ativa;13;CACHOEIRINHA;1303;35403210;403210;;18/09/2008;2008.0.197.062.4;18/09/2008;18/10/2008;30/03/2012;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;-23469401;-46666739;CON;30/04/2017
G;306996;CR.P.CONV;AMAC I;GUAIANASES;GUAIANASES;;RUA SERRA DAS ARARAS;401;VILA IOLANDA(LAJEADO);08451050;25524988;;;Ativa;96;LAJEADO;9602;35418286;418286;;18/09/2008;2008.0.158.791.0;18/09/2008;;12/01/2012;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;-23538420;-46400821;CON;30/04/2017
CS;306997;CR.P.CONV;NOSSO CAMINHO;CAPELA DO SOCORRO;CAPELA DO SOCORRO;;RUA INDOCHINA;74;JARDIM DAS IMBUIAS;04829220;59249328;;;Ativa;23;CIDADE DUTRA;2308;35404664;404664;;23/09/2008;2008.0.079.759.7;23/09/2008;24/09/2008;;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;-23731178;-46707593;CON;30/04/2017
CS;306998;CR.P.CONV;JARDIM DAS ORQUIDEAS;CAPELA DO SOCORRO;PARELHEIROS;;AVENIDA DAS ORQUÍDEAS;193;COLÔNIA (ZONA SUL);04896320;5921 6100;;;Ativa;55;PARELHEIROS;5510;35402631;402631;;26/09/2008;2008.0.113.542.3;26/09/2008;07/10/2008;;JARDIM DA ORQUIDEAS;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;-23861004;-46705948;CON;30/04/2017
CS;306999;CR.P.CONV;VINICIUS DE MORAES;CAPELA DO SOCORRO;PARELHEIROS;;RUA XAVIER ALVARENGA;275;PARELHEIROS;04884010;59796409;59213744;;Ativa;55;PARELHEIROS;5506;35402758;402758;;23/09/2008;2008.0.078.172.0;23/09/2008;20/10/2008;04/04/2012;NOSSA SENHORA DAS GRACAS;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;-23818803;-46705644;CON;30/04/2017
IQ;307001;CR.P.CONV;JOAO FERNANDES II;ITAQUERA;ITAQUERA;;AVENIDA PIRES DO RIO;3875;JARDIM NORMA;08240005;20535683;;;Ativa;37;ITAQUERA;3705;35419369;419369;;23/09/2008;2008.0.193.326.5;23/09/2008;;05/07/2012;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;-23531411;-46452917;CON;30/04/2017
G;307003;CR.P.CONV;AMAC II;GUAIANASES;GUAIANASES;;RUA DOUTOR LOURENÇO DE MENDONÇA;107;JARDIM AUGUSTA;08452330;25524976;;;Ativa;96;LAJEADO;9603;35407975;407975;;18/09/2008;2008.0.158.796.0;18/09/2008;;12/01/2012;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;-23532471;-46396088;CON;30/04/2017
IP;307004;ESC.PART.;BERCARIO ANJO DA GUARDA;IPIRANGA;IPIRANGA;;RUA CORREIA SALGADO;34;IPIRANGA;04211020;21621919;20621919;;Ativa;34;IPIRANGA;3402;35414852;414852;;27/09/2008;101;16/09/2008;;27/09/2008;;;;;;;;;;;;;;;;;;;;;;;;-23607142;-46620236;;30/04/2017
SA;307005;ESC.PART.;CENTRO EDUCACIONAL RIBEIRO JUNIOR;SANTO AMARO;JABAQUARA;;RUA BARRÂNIA;197;JARDIM ORIENTAL;04348140;;;;Ativa;38;JABAQUARA;3802;35329319;329319;;04/06/2008;196;30/05/2008;;04/06/2008;;;;;;;;;;;;;;;;;;;;;;;;-23644201;-46650986;;30/04/2017
BT;307006;ESC.PART.;SOLETRANDO II, C.E.I.;BUTANTA;BUTANTA;;AVENIDA ENGENHEIRO HEITOR ANTÔNIO EIRAS GARCIA;4382;JARDIM ESMERALDA;05564100;;;;Ativa;67;RIO PEQUENO;6704;35807278;807278;;11/06/2008;46;04/06/2008;;11/06/2008;FAZENDINHA DO SABER;;;;;;;;;;;;;;;;;;;;;;;-23589741;-46768570;;30/04/2017
CL;307008;ESC.PART.;SAO GREGORIO;CAMPO LIMPO;M'BOI MIRIM;;RUA CORONEL LUÍS SCHIMIDT;48;VILA DAS BELEZAS;05841130;;;;Ativa;46;JARDIM SAO LUIS;4601;35266760;266760;;21/08/2008;161;21/08/2008;;21/08/2008;;;;;;;;;;;;;;;;;;;;;;;;-23642005;-46738629;;30/04/2017
IP;307009;ESC.PART.;PLANETA DOCE, CENTRO DE REC INF;IPIRANGA;IPIRANGA;;RUA DOUTOR ELISIO DE CASTRO;62;VILA DOM PEDRO I;04277010;50631160;;;Ativa;34;IPIRANGA;3403;35321655;321655;;27/09/2008;97;16/09/2008;;27/09/2008;;;;;;;;;;;;;;;;;;;;;;;;-23591883;-46615203;;30/04/2017
JT;307010;ESC.PART.;VILLA DEI BAMBINI;JACANA/TREMEMBE;SANTANA/TUCURUVI;;RUA PEDRO CACUNDA;225;JARDIM SÃO PAULO(ZONA NORTE);02046090;;;;Ativa;70;SANTANA;7006;35801185;801185;;28/06/2008;23;20/06/2008;;27/12/2014;;;;;;;;;;;;;;;;;;;;;;;;-23489766;-46617013;;30/04/2017
FO;307011;CR.P.CONV;LAR ENCANTADO;FREGUESIA/BRASILANDIA;FREGUESIA/BRASILANDIA;;RUA LAURO JOSÉ DOS SANTOS;25;JARDIM CAROMBÉ;02855020;39227183;39227183;;Ativa;11;BRASILANDIA;1103;35405197;405197;;25/10/2008;2008.0.150.837.8;25/10/2008;12/11/2008;04/04/2012;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;-23455684;-46699943;CON;30/04/2017
IQ;307012;CR.P.CONV;MAYARA SANTOS SILVA;ITAQUERA;ITAQUERA;;RUA MANOEL SARMENTO;247;CIDADE LÍDER;08275075;27425799;;;Criada;57;PARQUE DO CARMO;5703;35410998;410998;;21/10/2008;2008.0.214.741.7;21/10/2008;;12/12/2013;;;2D;;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;;-23566630;-46472682;CON;30/04/2017
IQ;307013;CR.P.CONV;SEBASTIAO DA SILVA;ITAQUERA;ITAQUERA;;AVENIDA MARIA LUIZA AMERICANO;1786;CIDADE LÍDER;08275000;27426051;;;Ativa;57;PARQUE DO CARMO;5703;35410962;410962;;21/10/2008;2008.0.214.742.5;21/10/2008;;18/11/2011;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;;-23564121;-46468778;CON;30/04/2017
JT;307014;CR.P.CONV;EDUCADOR PAULO FREIRE;JACANA/TREMEMBE;VILA MARIA/VILA GUILHERME;;AVENIDA JARDIM JAPÃO;1366;JARDIM BRASIL (ZONA NORTE);02221001;35623925;35623126;;Ativa;92;VILA MEDEIROS;9203;35406193;406193;;20/10/2008;2007.0.238.547.2;20/10/2008;;;DE VOLTA PARA CASA II;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;;-23479567;-46582099;CON;30/04/2017
PJ;307015;ESC.PART.;PEQUENO FAVO DE MEL;PIRITUBA;PIRITUBA;;RUA BALTAZAR DA SILVEIRA;547;VILA PEREIRA CERCA;02931040;;;;Ativa;63;PIRITUBA;6306;35129689;129689;;06/11/2008;149;30/10/2008;;06/11/2008;RECREACAO INFANTIL PEQUENO FAVO DE MEL;;;;;;;;;;;;;;;;;;;;;;;-23497266;-46709670;;30/04/2017
IQ;307017;CR.P.CONV;JARDIM FLOR DE LIS III;ITAQUERA;ITAQUERA;;RUA JOHN SPEERS;2301;FAZENDA CAGUAÇU;08265040;22542971;;;Ativa;57;PARQUE DO CARMO;5701;35432350;432350;;30/10/2008;2008.0.240.507.6;30/10/2008;;04/02/2012;EFIGENIA MARIA DE JESUS;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;;-23563105;-46456052;CON;30/04/2017
SM;307018;CR.P.CONV;RUGRATS - OS ANJINHOS;SAO MATEUS;SAPOPEMBA;;RUA JOSÉ DE OLIVEIRA CHINA;70;JARDIM DONA SINHÁ;03924100;21434217;;;Ativa;76;SAPOPEMBA;7602;35410937;410937;;28/10/2008;2008.0.231.017.2;28/10/2008;;;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;;-23598811;-46512174;CON;30/04/2017
IP;307019;CR.P.CONV;ENCARNACAO ROMERO MARTINS;IPIRANGA;VILA PRUDENTE;;RUA DOUTOR LAURINDO MINHOTO;101;PARQUE SÃO LUCAS;03240060;23173000;;23713000;Ativa;72;SAO LUCAS;7202;35411103;411103;;28/10/2008;2008.0.219.941.7;28/10/2008;28/10/2008;;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;-23600069;-46549022;CON;30/04/2017
G;307020;CR.P.CONV;ELITE;GUAIANASES;CIDADE TIRADENTES;;RUA CRISTIANO LOBE;200;CIDADE TIRADENTES;08475340;22853583;;;Ativa;25;CIDADE TIRADENTES;2506;35417294;417294;;03/11/2008;200802296811;03/11/2008;;23/01/2012;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;-23589375;-46402531;CON;30/04/2017
PE;307022;CR.P.CONV;HADASSA;PENHA;ERMELINO MATARAZZO;;RUA ÂNGELO ARIGONI;30;ERMELINO MATARAZZO;03813035;25417258;;;Ativa;28;ERMELINO MATARAZZO;2804;35429703;429703;;12/11/2008;2008.0.248.905.9;12/11/2008;01/06/2009;16/03/2012;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;;-23485832;-46470348;CON;30/04/2017
MP;307024;CEI INDIR;SER FELIZ;SAO MIGUEL;SAO MIGUEL;;RUA JOSÉ ALDO PIASSI;323;SÃO MIGUEL PAULISTA;08011300;20314195;;;Ativa;74;SAO MIGUEL;7407;35419096;419096;;30/09/2008;2008.0.256.007.1;30/09/2008;01/10/2008;13/03/2012;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;-23494905;-46446577;CON;30/04/2017
G;307025;CR.P.CONV;ABC UNIDA;GUAIANASES;GUAIANASES;;RUA TORRE DE SANTIAGO;15;JARDIM SOARES;08460180;21535508;;;Ativa;31;GUAIANASES;3103;35409613;409613;;09/10/2008;2008.0.226.698.0;09/10/2008;;02/08/2013;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;-23547553;-46404319;CON;30/04/2017
G;307026;CR.P.CONV;CRESCER BRINCANDO;GUAIANASES;GUAIANASES;;RUA BENTO SOARES MOTA;11;JARDIM SÃO PAULO(ZONA LESTE);08412180;25546482;;;Ativa;31;GUAIANASES;3103;35407318;407318;;09/10/2008;259;09/10/2008;08/10/2008;11/09/2014;DOCE SABER;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;-23560091;-46411640;CON;30/04/2017
JT;307027;CR.P.CONV;VO XINHA;JACANA/TREMEMBE;JACANA/TREMEMBE;;RUA ANTÔNIO SÉRGIO DE MATOS;3;CONJUNTO HABITACIONAL JOVA RURAL;02281203;22408620;;;Ativa;39;JACANA;3902;35409637;409637;;17/11/2008;2008.0.225.341.1;17/11/2008;;;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;;-23455491;-46582966;CON;30/04/2017
G;307029;CR.P.CONV;EDUCAR AGORA I;GUAIANASES;GUAIANASES;;RUA GONÇALO LOPES DE CAMARGO;29;JARDIM FANGANIELLO;08450560;20165595;;;Ativa;96;LAJEADO;9601;35410159;410159;;25/11/2008;2008.0.286.329.5;25/11/2008;;22/06/2013;MONICA CUSTODIO DA SILVA;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;-23545115;-46389314;CON;30/04/2017
G;307030;CR.P.CONV;CAMINHAR E CRESCER;GUAIANASES;GUAIANASES;;RUA ANTÔNIO THADEO;697;LAJEADO;08450160;25524735;;;Ativa;96;LAJEADO;9602;35432945;432945;;25/11/2008;2008.0.264.680.4;25/11/2008;;03/02/2012;LUCINDA BRITO;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;-23537940;-46405616;CON;30/04/2017
MP;307031;CR.P.CONV;CANTINHO ENCANTADO;SAO MIGUEL;ITAIM PAULISTA;;RUA MIXIRA;197;JARDIM CAMARGO NOVO;08141530;21567205;;;Ativa;36;ITAIM PAULISTA;3605;35414426;414426;;17/11/2008;2008.0.301.137.3;17/11/2008;24/11/2008;16/03/2012;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;;-23507541;-46388374;CON;30/04/2017
G;307032;CR.P.CONV;VOVO MARLENE IV;GUAIANASES;GUAIANASES;;RUA FRANCISCO FERNANDES FRAZÃO;130;LAJEADO;08452180;25522039;;;Ativa;96;LAJEADO;9602;35432283;432283;;25/11/2008;2008.0.244.790.9;25/11/2008;;25/07/2013;CASTELINHO ENCANTADO II;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;-23536362;-46398002;CON;30/04/2017
G;307033;CR.P.CONV;PAZ NOS VALES;GUAIANASES;GUAIANASES;;RUA PIRES DE ÁVILA;13;JARDIM SÃO PAULO(ZONA LESTE);08461330;25536510;;;Ativa;31;GUAIANASES;3103;35414232;414232;;25/11/2008;2008.0.172.411.9;25/11/2008;;;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;;-23559230;-46408495;CON;30/04/2017
G;307034;CR.P.CONV;ENCARNACAO GIMENEZ MARTINEZ LUCAS;GUAIANASES;GUAIANASES;;RUA QUINTA DO PAÇO;277;VILA MARILENA;08411280;25527987;;;Ativa;31;GUAIANASES;3102;35414098;414098;;25/11/2008;2008.0.272.780.4;25/11/2008;;15/05/2012;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;-23553942;-46407344;CON;30/04/2017
CL;307035;CR.P.CONV;SANTA MARIA GORETE;CAMPO LIMPO;M'BOI MIRIM;;RUA CRUZEIROS;13;PARQUE DAS CEREJEIRAS;04966150;58957265;;;Ativa;43;JARDIM ANGELA;4307;35411139;411139;;01/12/2008;2008.0.265.027.5;01/12/2008;;05/07/2012;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;;-23725536;-46782204;CON;30/04/2017
MP;307038;CR.P.CONV;CRIANCA DO AMANHA II;SAO MIGUEL;ITAIM PAULISTA;;RUA THYRSO BURGOS LOPES;28;CIDADE KEMEL;08130050;25614698;;;Ativa;36;ITAIM PAULISTA;3610;35416976;416976;;17/11/2008;2008.0.241.524.1;17/11/2008;16/02/2009;16/12/2011;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;;-23510408;-46367837;CON;30/04/2017
IQ;307039;CR.P.CONV;GALPAO ATRIA PARADA XV DE NOVEMBRO;ITAQUERA;ITAQUERA;;RUA GOIATÁ;613;PARADA XV DE NOVEMBRO;08246070;20563906;;;Ativa;37;ITAQUERA;3704;35337651;337651;;01/12/2008;2008.0.168.410.9;01/12/2008;;18/09/2014;NOVA SANT ANA;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;;-23529971;-46438436;CON;30/04/2017
G;307041;CR.P.CONV;JULIO FRANCISCO DE SOUZA;GUAIANASES;CIDADE TIRADENTES;;RUA FRANCISCO CARDOSO JÚNIOR;15;JARDIM ÁUREA;08421105;25181346;;;Ativa;25;CIDADE TIRADENTES;2508;35411152;411152;;25/11/2008;2008.0.286.336.8;25/11/2008;16/12/2009;01/10/2013;;2D;2D;;;;;;;;;;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;INTEGR;;-23565053;-46418535;CON;30/04/2017
