DRE;CODESC;TIPOESC;NOMESC;DIRETORIA;SUBPREF;CEU;ENDERECO;NUMERO;BAIRRO;CEP;TEL1;TEL2;FAX;SITUACAO;CODDIST;DISTRITO;SETOR;CODINEP;CODCIE;EH;DT_CRIACAO;ATO_CRIACAO;DOM_CRIACAO;DT_INI_FUNC;DT_AUTORIZA;NOME_ANT;T2D3D;T2D3D16;T2D3D15;T2D3D14;T2D3D13;T2D3D12;T2D3D11;T2D3D10;T2D3D09;T2D3D08;T2D3D07;DTURNOS;DTURNOS16;DTURNOS15;DTURNOS14;DTURNOS13;DTURNOS12;DTURNOS11;DTURNOS10;DTURNOS09;DTURNOS08;DTURNOS07;LATITUDE;LONGITUDE;REDE;DATABASE
SM;092665;EMEI;CARMEM MIRANDA;SAO MATEUS;SAO MATEUS;;RUA MIGUEL FERREIRA DE MELO;10;JARDIM SANTO ANDRE;08390000;27517914;;27517914;Ativa;75;SAO RAFAEL;7505;35092685;092685;161080144000000;04/07/1985;21.064;04/07/1985;05/08/1985;13/03/2001;JARDIM SANTO ANDRE;2D;2D;2D;2D;2D;2D;2D;3D;3D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MIV;MIV;MIV;MIV;-23631480;-46443251;DIR;30/04/2017
SM;092673;EMEI;JOSE MAURO DE VASCONCELOS;SAO MATEUS;SAO MATEUS;;RUA JOSINO MENDES ALVARENGA FREIRE;341;JARDIM TIETE;03945080;20196768;;20153213;Ativa;73;SAO MATEUS;7307;35092629;092629;161080136000000;19/07/1985;21.111;19/07/1985;02/09/1985;16/03/1991;JARDIM TIETE;2D;2D;2D;2D;2D;2D;2D;3D;3D;3D;3D;MT;MT;MT;MT;MT;MT;MT;MIV;MIV;MIV;MIV;-23599573;-46490650;DIR;30/04/2017
BT;092681;EMEF;JOSE DE ALCANTARA MACHADO FILHO;BUTANTA;BUTANTA;;RUA MATTIA FILIZZOLA;76;REAL PARQUE;05685060;37591520;;37580173;Ativa;54;MORUMBI;5404;35053995;053995;161079108000000;27/02/1957;3.480;27/02/1957;27/02/1957;10/04/1981;ESCOLA MASCULINA MUNICIPAL REAL PQ MORUMBI;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MTNG;MTNG;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;-23607777;-46705278;DIR;30/04/2017
BT;092690;EMEF;AMORIM LIMA, DES.;BUTANTA;BUTANTA;;RUA PROFESSOR VICENTE PEIXOTO;50;VILA GOMES;05587160;37261119;37268049;;Ativa;12;BUTANTA;1201;35053144;053144;161079101000000;;;;20/11/1956;10/04/1981;ESCOLAS AGRUPADAS DE VILA INDIANA;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MT;MT;MT;MT;MT;MT;MT;MT;MTN;MTN;MTN;-23574501;-46729251;DIR;30/04/2017
BT;092703;EMEF;THEODOMIRO DIAS, DES.;BUTANTA;BUTANTA;;PRACA DOUTOR JOSE ORIA;S/N;VILA SONIA;05626070;37715304;37425858;;Ativa;94;VILA SONIA;9403;35053168;053168;161079162000000;20/03/1957;3.504;20/03/1957;01/02/1972;10/04/1981;ESCOLA MISTA DE VILA SONIA;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MT;MT;MT;MT;MT;MT;MTN;MTN;MTN;MTN;MTN;-23594471;-46730758;DIR;30/04/2017
BT;092711;EMEF;DEODORO DA FONSECA, MAL.;BUTANTA;BUTANTA;;PRACA IMPRENSA PAULISTA;30;CAXINGUI;05517020;37213843;37224371;37224371;Ativa;12;BUTANTA;1203;35053235;053235;161079104000000;16/11/1956;3.341;16/11/1956;11/02/1960;10/04/1981;3,4,E 5 ESCOLAS MISTAS DO CAXINGUI;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;-23582733;-46724030;DIR;30/04/2017
BT;092720;EMEF;ARTHUR WHITAKER, DES.;BUTANTA;BUTANTA;;RUA ANDRE SARAIVA;860;VILA SONIA;05626000;37425772;;37425772;Ativa;94;VILA SONIA;9403;35053156;053156;161079157000000;20/03/1957;3.504;20/03/1957;03/05/1957;01/09/1982;VILA SONIA II;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;-23596402;-46735918;DIR;30/04/2017
BT;092738;EMEF;TARSILA DO AMARAL;BUTANTA;BUTANTA;;RUA NATAL PIGASSI;787;JARDIM CELESTE;05527000;37510223;37515250;;Ativa;94;VILA SONIA;9401;35053272;053272;161079159000000;03/08/1971;9.586;02/08/1971;26/01/1972;10/04/1981;E.M. DO JARDIM CELESTE;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MT;MT;MT;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;-23597878;-46756771;DIR;30/04/2017
BT;092746;EMEF;ALIPIO ANDRADA SERPA, TTE.;BUTANTA;BUTANTA;;RUA NICOLAU COPERNICO;165;JARDIM BATAGLIA;05546000;37824068;;37829746;Ativa;65;RAPOSO TAVARES;6503;35053284;053284;161079113000000;15/01/1971;9.252;14/01/1971;14/01/1971;10/04/1981;;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MT;MT;MT;MT;MT;MT;MT;MT;MT;MTN;MTN;-23588340;-46772909;DIR;30/04/2017
BT;092754;EMEF;ALCIDES GONCALVES ETCHEGOYEN, GEN.;BUTANTA;BUTANTA;;RUA ADHERBAL STRESSER;686;JARDIM ARPOADOR;05566000;37821862;37829744;;Ativa;65;RAPOSO TAVARES;6505;35053173;053173;161079110000000;20/02/1971;9.332;16/02/1971;20/02/1971;10/04/1981;ARPOADOR;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MT;MT;MT;MT;MT;MTN;MTN;MTN;MTN;MTN;MTN;-23594749;-46791369;DIR;30/04/2017
BT;092762;EMEF;JOAO XXIII;BUTANTA;BUTANTA;;RUA CÔNEGO LUÍS VIEIRA DA SILVA;201;JARDIM JOÃO XXIII;05569110;37820750;;37825911;Ativa;65;RAPOSO TAVARES;6505;35053211;053211;161079127000000;20/01/1975;11.713;20/01/1975;03/02/1975;10/04/1981;;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;-23598579;-46792166;DIR;30/04/2017
BT;092771;EMEF;SOLANO TRINDADE;BUTANTA;BUTANTA;;RUA GABRIEL DE CARVALHO;60;JARDIM BOA VISTA;05583080;37811914;37824889;;Ativa;65;RAPOSO TAVARES;6502;35083963;083963;161079130000000;13/03/1980;16.529;12/03/1980;20/05/1982;06/05/1981;JARDIM BOA VISTA;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;2D;MT;MT;MT;MTN;MTN;MTN;MTN;MTN;MTN;MTN;MTN;-23584002;-46791330;DIR;30/04/2017
